Year,World Flight Training Accident Fatalities
1942,1
1943,6
1944,7
1945,0
1946,15
1947,19
1948,16
1949,6
1950,18
1951,14
1952,20
1953,1
1954,3
1955,3
1956,11
1957,35
1958,9
1959,13
1960,34
1961,30
1962,30
1963,24
1964,8
1965,7
1966,24
1967,21
1968,7
1969,11
1970,20
1971,5
1972,19
1973,3
1974,17
1975,0
1976,16
1977,12
1978,12
1979,27
1980,10
1981,2
1982,11
1983,2
1984,3
1985,3
1986,4
1987,11
1988,3
1989,11
1990,0
1991,3
1992,6
1993,2
1994,10
1995,2
1996,4
1997,6
1998,0
1999,0
2000,0
2001,3
2002,0
2003,0
2004,2
2005,3
2006,5
2007,0
2008,2
2009,5
2010,2
2011,0
2012,0
2013,1
2014,2
2015,0
2016,0
2017,0
2018,0
2019,0
